SGB ID	AverageAbundance	std	q1	MedianAbundance	q3	min	max	# Samples
14059	0.446855134		0.446855134	0.446855134	0.446855134	0.446855134	0.446855134	1
14060	0.132970593		0.132970593	0.132970593	0.132970593	0.132970593	0.132970593	1
14062	0.024942579		0.024942579	0.024942579	0.024942579	0.024942579	0.024942579	1
14065	0.257597984	0.102126454	0.22149083	0.257597984	0.293705138	0.185383676	0.329812292	2
14066	0.527389172	0.342600141	0.281115952	0.467837687	0.722083922	0.086328874	1.108161788	11
14067	0.646325042	0.669559802	0.177491122	0.444366286	0.77965775	0.13629132	2.02931994	7
14068	0.151363626	0.045667794	0.135217622	0.151363626	0.16750963	0.119071619	0.183655633	2
14069	0.414837145		0.414837145	0.414837145	0.414837145	0.414837145	0.414837145	1
14070	0.290275419	0.111983352	0.250683325	0.290275419	0.329867512	0.211091232	0.369459606	2
14071	0.23206121	0.192848835	0.125123264	0.178821499	0.3123793	0.071425029	0.445937101	3
14072	0.123634415		0.123634415	0.123634415	0.123634415	0.123634415	0.123634415	1
14073	0.129468943		0.129468943	0.129468943	0.129468943	0.129468943	0.129468943	1
14074	0.923953905	0.00369497	0.922647536	0.923953905	0.925260274	0.921341167	0.926566644	2
14075	0.339409578	0.2481155	0.178784124	0.275221251	0.359673835	0.107300158	0.921742129	14
14076	0.316176792		0.316176792	0.316176792	0.316176792	0.316176792	0.316176792	1
14077	0.146547096		0.146547096	0.146547096	0.146547096	0.146547096	0.146547096	1
14078	0.105515865		0.105515865	0.105515865	0.105515865	0.105515865	0.105515865	1
14079	0.143171464		0.143171464	0.143171464	0.143171464	0.143171464	0.143171464	1
14080	0.2910087	0.30798022	0.128742239	0.17212195	0.331048322	0.057819238	1.203028703	13
14081	0.316309579	0.292670655	0.097790574	0.270870002	0.428959917	0.083550637	1.144102185	14
14082	0.45986422	0.532254354	0.155028745	0.301790883	0.494241967	0.053649631	2.299812855	24
14083	0.534268462	0.439694713	0.165539764	0.421242645	0.901758672	0.114033428	1.106855901	6
14084	0.335183728	0.177989946	0.169685115	0.29077561	0.488218138	0.164848408	0.57485557	7
14085	0.506466838	0.468803453	0.151996913	0.285080614	0.658674369	0.0988605	1.821980468	17
14086	0.027504905		0.027504905	0.027504905	0.027504905	0.027504905	0.027504905	1
14087	0.287161396	0.114711102	0.246604897	0.287161396	0.327717895	0.206048398	0.368274394	2
14088	0.151997082		0.151997082	0.151997082	0.151997082	0.151997082	0.151997082	1
14091	0.402032136	0.160283636	0.345363314	0.402032136	0.458700959	0.288694491	0.515369782	2
14095	1.546303155	0.362800072	1.418033959	1.546303155	1.67457235	1.289764763	1.802841546	2
14097	0.185864414	0.105569541	0.133797843	0.18868085	0.239339203	0.078914835	0.289997556	3
14098	0.129758937		0.129758937	0.129758937	0.129758937	0.129758937	0.129758937	1
14099	1.939200874	2.552675629	0.612247014	0.873239717	1.603671989	0.158997987	8.806977397	14
14106	0.618614334	0.280118355	0.406201736	0.643755255	0.874910399	0.164994303	0.9374774	8
